"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ImageServicesTest","122","0","122"
"Total service\Protocol","122","0","122"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID"
"BootServicesTest\ImageServicesTest","5.1.4.1.4","0","0","4556A0D5-B928-4777-8ECE-6DBD8088F878","PASS","BS.LoadImage - LoadImage() returns EFI_NOT_FOUND with non-existent FilePath.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:254:Status - Not Found","0x00010001","225239AD-DCB8-4367-8FD8-8E190E1A0308"
"BootServicesTest\ImageServicesTest","5.1.4.1.5","0","0","CC78F02E-8B50-4F9D-B292-5910AC2A2202","PASS","BS.LoadImage - LoadImage() returns EFI_INVALID_PARAMETER with NULL ImageHandle.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:318:Status - Invalid Parameter","0x00010001","225239AD-DCB8-4367-8FD8-8E190E1A0308"
"BootServicesTest\ImageServicesTest","5.1.4.1.6","0","0","279CA318-4859-4C3F-B775-06587DDC7E56","PASS","BS.LoadImage - LoadImage() returns EFI_LOAD_ERROR with zero length Buffer.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestConformance.c:361:Status - Load Error","0x00010001","225239AD-DCB8-4367-8FD8-8E190E1A0308"
"BootServicesTest\ImageServicesTest","5.1.4.1.7","0","0","2881C2CC-28AA-4335-8A9F-5C905D5F9DFC","PASS","BS.LoadImage - LoadImage() loads image from disk device that supports Simple File System Protocol.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:600:Status - Success, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
"BootServicesTest\ImageServicesTest","5.1.4.1.8","0","0","8BDFD438-06B0-43A6-AB5B-518339FD8F87","PASS","BS.LoadImage - LoadImage() loads image from disk device that supports Simple File System Protocol.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:629:Status - Success, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
"BootServicesTest\ImageServicesTest","5.1.4.1.9","0","0","A44B3D57-A2A3-41EE-B5A3-595FABFC5C76","PASS","BS.LoadImage - LoadImage() loads image from disk device that supports Simple File System Protocol.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:681:CodeType - 1, DataType - 2, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
"BootServicesTest\ImageServicesTest","5.1.4.1.10","0","0","7D5540A9-9BBD-4F33-AFF3-84BCC5BE830A","PASS","BS.LoadImage - LoadImage() loads image from memory.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:850:Status - Success, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
"BootServicesTest\ImageServicesTest","5.1.4.1.11","0","0","B382D195-2231-4C6A-A342-3DDE8F7C39E0","PASS","BS.LoadImage - LoadImage() loads image from memory.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:879:Status - Success, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
"BootServicesTest\ImageServicesTest","5.1.4.1.12","0","0","D59292F3-68BD-4B2E-B0A5-9B8C3952CF9E","PASS","BS.LoadImage - LoadImage() loads image from memory.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:931:CodeType - 1, DataType - 2, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
"BootServicesTest\ImageServicesTest","5.1.4.1.13","0","0","1272DCF7-DD42-4F3F-9055-7D6F3E8BBA1F","PASS","BS.LoadImage - LoadImage() ignores FilePath with non-NULL SourceBuffer.","c:\sctworkspace\edk2\SctPkg\TestCase\UEFI\EFI\BootServices\ImageServices\BlackBoxTest\ImageBBTestFunction.c:1085:Status - Success, TPL - 4","0x00010001","2FF0431A-8E07-4CDB-A298-D004566A74D4"
